job_title,seniority_level,status,location,post_date,industry,ownership,company_size,revenue,salary_clean,avg_salary_usd,skills
machine learning engineer,NA,on-site,"San Francisco, CA . Seattle, WA . New York, NY . On-site",13 days ago,Technology,Private,31,31,200939 - 296838,226136.7506,[]
data scientist,senior,on-site,United States,9 days ago,Technology,Public,"212,610","212,610",99744 - 204046,112251.8976,"['pytorch', 'aws', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'tensorflow']"
data scientist,senior,on-site,"Dublin, County Dublin, Ireland",22 days ago,Healthcare,Public,"37,990",NA,52987,59631.5698,"['sql', 'azure', 'python']"
data scientist,lead,NA,"Alpharetta, GA",15 days ago,Technology,Public,"65,120",NA,115086,129517.78439999999,"['spark', 'aws', 'r', 'python', 'scala', 'java', 'sql', 'machine learning', 'hadoop', 'azure', 'tensorflow', 'tableau']"
data scientist,senior,remote,United States,a month ago,Technology,Public,"55,070","55,070",100467,113065.5618,['machine learning']
machine learning engineer,senior,hybrid,"San Jose, CA . Hybrid",15 days ago,Technology,Public,"34,690","34,690",125584 - 216003,141332.2336,"['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'java', 'sql', 'machine learning', 'tensorflow']"
data scientist,senior,on-site,United States . On-site,8 days ago,Technology,Private,"2,540","2,540",137003 - 150703,154183.1762,"['sql', 'machine learning', 'r', 'python']"
machine learning engineer,senior,NA,NA,2 years ago,Technology,Private,910,910,44207,49750.557799999995,[]
data scientist,senior,remote,"Riverwoods, IL",10 days ago,Technology,Public,"14,460","14,460",118733 - 166226,133622.1182,"['sql', 'tableau']"
data scientist,lead,on-site,"South San Francisco, CA",6 days ago,Technology,Private,"14,040","14,040",195911,220478.2394,['machine learning']
data scientist,midlevel,remote,"Tallahassee, FL . Arlington, VA . Fully Remote",25 days ago,Finance,Public,"7,290",NA,131219 - 223067,147673.8626,"['r', 'python', 'sql', 'machine learning', 'database', 'deep learning']"
data scientist,senior,remote,NA,a month ago,Technology,Private,960,960,164405 - 226054,185021.387,[]
data scientist,senior,hybrid,"San Jose, CA . Hybrid",2 months ago,Technology,Private,750,750,112800 - 194405,126945.12,"['sql', 'machine learning', 'r', 'python']"
data scientist,NA,on-site,NA,13 days ago,Technology,Private,600,600,127868 - 143851,143902.6472,[]
data scientist,senior,NA,"Edinburgh, Scotland, United Kingdom",a day ago,Finance,Public,"60,010","60,010",59677,67160.4958,"['machine learning', 'python']"
data scientist,senior,on-site,"Milwaukee, WI",8 days ago,Healthcare,Public,"48,050","48,050",102300 - 140660,115128.42,"['spark', 'python', 'scala', 'machine learning', 'database', 'azure', 'tableau']"
data scientist,midlevel,on-site,"Pune, Maharashtra, India . On-site",3 months ago,Technology,Private,"12,090","12,090",13173,14824.894199999999,"['amazon', 'r', 'python', 'java', 'database', 'hadoop', 'machine learning']"
data scientist,senior,remote,NA,2 months ago,Technology,Private,351,351,164400,185015.75999999998,[]
data scientist,senior,on-site,"Seattle, WA",a month ago,Technology,Public,"65,870","65,870",125223 - 216007,140925.9642,"['sql', 'r', 'python']"
data scientist,senior,on-site,"Johns Creek, GA",6 days ago,Retail,Public,"130,020","130,020",137000,154179.8,['machine learning']
data scientist,senior,hybrid,"Basking Ridge, NJ . Irving, TX . Temple Terrace, FL . Boston, MA . Ashburn, VA + 1 More . Hybrid",8 days ago,Technology,Public,"132,060","132,060",92254,103822.6516,"['python', 'sql', 'machine learning', 'database', 'hadoop', 'deep learning']"
data scientist,senior,NA,"Itanagar, Arunachal Pradesh, India",2 months ago,Finance,Private,"78,060","78,060",12924,14544.6696,"['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'git', 'scikit-learn', 'python', 'docker', 'scipy', 'hadoop', 'machine learning', 'database', 'keras', 'deep learning', 'matplotlib', 'tensorflow']"
data scientist,senior,remote,NA,16 days ago,Technology,Private,"1,890","1,890",198198 - 277565,223052.0292,[]
data scientist,senior,on-site,"New Brunswick, NJ",a day ago,Healthcare,Public,"128,860","128,860",97046 - 131295,109215.56839999999,"['aws', 'powerbi', 'r', 'python', 'airflow', 'machine learning', 'azure', 'tableau']"
data scientist,senior,on-site,"Bellevue, WA",23 days ago,Technology,Public,"24,320",NA,109328 - 203035,123037.7312,"['pytorch', 'scikit-learn', 'python', 'scala', 'java', 'machine learning', 'tensorflow']"
data scientist,lead,on-site,"Phoenix, AZ",15 days ago,Finance,Private,"33,050","33,050",137000,154179.8,"['spark', 'r', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']"
data scientist,senior,NA,"McLean, VA",2 months ago,Technology,Private,420,420,72666 - 159901,81778.3164,"['database', 'machine learning', 'python']"
data scientist,lead,NA,"Columbia, MD",14 days ago,Technology,Private,180,180,100472 - 146138,113071.18879999999,"['pytorch', 'spark', 'aws', 'r', 'python', 'scikit-learn', 'scala', 'sql', 'machine learning', 'gcp', 'azure', 'tensorflow']"
data scientist,senior,on-site,NA,a month ago,Technology,Private,420,420,144307 - 167140,162403.0978,[]
data scientist,senior,NA,"Utah, United States",15 days ago,Technology,Public,"97,070","97,070",125495 - 188149,141232.073,"['aws', 'gcp', 'azure']"
machine learning engineer,senior,NA,"South San Francisco, CA . South San Francisco, Kalifornia, Stany Zjednoczone",7 days ago,Healthcare,Private,250,250,190891 - 212811,214828.7314,"['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,senior,hybrid,"Kitchener-Waterloo, ON . Toronto, ON . Hybrid",11 days ago,Finance,Private,780,780,153447 - 210986,172689.2538,[]
machine learning engineer,senior,on-site,"Torrance, CA",15 days ago,Technology,Public,"10,100","10,100",63941,71959.20139999999,"['java', 'machine learning', 'r', 'python']"
data scientist,NA,remote,NA,4 days ago,Technology,Private,420,420,213594,240378.6876,[]
machine learning engineer,lead,NA,NA,a year ago,Technology,Private,910,910,44202,49744.930799999995,[]
data scientist,senior,hybrid,Greater Chicago Area . Hybrid,a month ago,Finance,Private,660,660,73068 - 91335,82230.7272,"['aws', 'python', 'sql', 'machine learning', 'deep learning']"
data scientist,NA,on-site,"Barcelona, Spain . On-site",2 months ago,Technology,Private,"3,800","3,800",46528 - 76222,52362.6112,[]
data scientist,senior,on-site,"Cambridge, MA",5 days ago,Technology,Public,"9,020",NA,9140,10286.155999999999,"['r', 'python', 'sql', 'hadoop', 'machine learning']"
data scientist,senior,on-site,"Normal, IL . Plymouth, MI . Palo Alto, CA . Irvine, CA . Atlanta, GA",15 days ago,Technology,Public,"3,780","3,780",147050 - 196370,165490.07,"['sql', 'r', 'python']"
machine learning engineer,NA,hybrid,"Sunnyvale, CA . Hybrid",a day ago,Technology,Private,900,900,144491,162610.1714,[]
data scientist,senior,remote,NA,11 days ago,Technology,Public,"2,780",NA,146050 - 230989,164364.66999999998,[]
data scientist,senior,on-site,"Menlo Park, CA",3 months ago,Technology,Public,"3,760","3,760",181756 - 258932,204548.20239999998,['python']
data scientist,senior,remote,NA,7 days ago,Technology,Private,270,270,132438 - 159838,149045.7252,[]
data scientist,senior,on-site,"Cincinnati, OH",a month ago,Finance,Public,"62,010","62,010",157017 - 263794,176706.9318,"['spark', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'azure']"
data scientist,midlevel,on-site,"McLean, VA",6 days ago,Retail,Public,"55,120","55,120",121479 - 138650,136712.46659999999,"['spark', 'aws', 'r', 'python', 'scala', 'sql', 'database', 'machine learning']"
data scientist,senior,on-site,"Dublin, County Dublin, Ireland",15 days ago,Healthcare,Public,"37,970",NA,57318,64505.6772,"['machine learning', 'r', 'python']"
data scientist,senior,on-site,NA,a month ago,Technology,Private,420,420,216463 - 242949,243607.4602,[]
data scientist,NA,hybrid,"Boston, MA . Hybrid",5 days ago,Retail,Public,"17,010",NA,130609 - 140656,146987.3686,[]
data scientist,senior,NA,United States,10 days ago,Technology,Public,"8,270","8,270",87412 - 139463,98373.4648,"['aws', 'r', 'python', 'linux', 'sql', 'machine learning', 'deep learning', 'azure']"
data scientist,senior,remote,"Arlington, VA",a month ago,Finance,Public,"7,290",NA,89623 - 152356,100861.7242,"['r', 'python', 'sql', 'machine learning', 'database', 'deep learning']"
machine learning engineer,midlevel,on-site,"New York, NY",14 days ago,Technology,Private,"14,060","14,060",128871 - 239383,145031.4234,"['deep learning', 'machine learning', 'r', 'python']"
data scientist,senior,on-site,NA,4 months ago,Technology,Private,320,320,28130,31657.502,[]
data scientist,midlevel,on-site,"San Francisco, CA",15 days ago,Technology,Public,"9,770",NA,130667 - 241897,147052.64179999998,"['spark', 'aws', 'python', 'airflow', 'sql', 'gcp', 'machine learning']"
data scientist,senior,on-site,"Atlanta, GA",a month ago,Finance,Private,"1,280","1,280",67682 - 101475,76169.3228,"['pandas', 'aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'gcp', 'azure', 'matplotlib']"
data scientist,senior,hybrid,"London, England, United Kingdom . Hybrid",15 days ago,Technology,Public,351,NA,91337 - 137003,102790.6598,"['sql', 'aws', 'r', 'python']"
data scientist,senior,hybrid,"Bengaluru, Karnataka, India . Hybrid",a month ago,Technology,Public,"98,130","98,130",32665,36761.191,"['pandas', 'numpy', 'pytorch', 'aws', 'r', 'python', 'scikit-learn', 'scipy', 'sql', 'machine learning', 'deep learning', 'keras', 'azure', 'matplotlib', 'tensorflow', 'tableau']"
data scientist,senior,remote,"Washington, United States . Idaho, United States . Arizona, United States . Georgia, United States . South Carolina, United States + 1 More . Fully Remote",7 days ago,Finance,NA,"2,810","2,810",88967 - 166051,100123.46179999999,"['tableau', 'sql', 'r', 'python']"
data scientist,midlevel,remote,Mexico City Metropolitan Area . Fully Remote,15 days ago,Technology,NA,Private,NA,25212,28373.5848,"['sql', 'machine learning', 'python']"
data scientist,senior,NA,"Englewood, CO",a month ago,Technology,Public,"2,520",NA,105439,118661.0506,"['sql', 'r', 'python']"
data scientist,senior,hybrid,"New York, NY . Hybrid",a month ago,Technology,Private,500,500,118741 - 137008,133631.1214,[]
data scientist,senior,remote,"Madrid, Community of Madrid, Spain",25 days ago,Technology,Private,"5,560","5,560",55995,63016.773,"['spark', 'aws', 'powerbi', 'r', 'python', 'docker', 'linux', 'sql', 'azure', 'tableau']"
data scientist,lead,hybrid,"Palo Alto, CA . Hybrid",2 months ago,Technology,Private,126,126,186327 - 261220,209692.40579999998,[]
data scientist,senior,hybrid,"Seattle, WA . Hybrid",4 days ago,Technology,Private,45,45,210073 - 251172,236416.1542,"['sql', 'python']"
data scientist,NA,hybrid,NA,a month ago,Technology,Private,56,56,36542 - 54809,41124.366799999996,[]
data scientist,senior,on-site,"Toronto, Ontario, Canada",5 days ago,Finance,Private,"45,050","45,050",94256 - 175359,106075.7024,"['machine learning', 'python']"
data scientist,senior,NA,United States,5 days ago,Technology,Private,210,210,87407,98367.8378,"['spark', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'azure']"
data scientist,NA,on-site,"New York City, New York, United States . On-site",2 months ago,Technology,Private,150,150,154356,173712.2424,[]
data scientist,senior,NA,"Lexington, MA . Massachusetts, United States",a month ago,Technology,Public,"1,800",NA,109604,123348.3416,"['aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,lead,NA,"New York, United States",6 days ago,Technology,Private,"1,020","1,020",141571 - 164405,159324.0034,"['tableau', 'sql', 'r', 'python']"
data scientist,senior,on-site,"Fort George G Meade, Maryland, United States . On-site",3 months ago,Technology,Private,45,45,89511 - 196370,100735.6794,[]
data scientist,midlevel,remote,"São Paulo, São Paulo, Brazil . Fully Remote",14 days ago,Technology,NA,Private,NA,25214,28375.8356,"['sql', 'machine learning', 'python']"
data scientist,midlevel,on-site,"Sacramento, CA",19 days ago,Healthcare,NA,"55,010","55,010",115891 - 172882,130423.73139999999,[]
data scientist,senior,NA,"New York, United States . Minneapolis, MN . Chicago, IL",5 days ago,Technology,Private,420,420,68504 - 84944,77094.4016,"['git', 'r', 'python', 'docker', 'sql', 'machine learning']"
data scientist,midlevel,on-site,"Bellevue, WA",a month ago,Retail,Public,"7,100",NA,122847 - 196370,138252.0138,"['aws', 'git', 'python', 'sql', 'machine learning']"
data scientist,senior,on-site,"Bengaluru, Karnataka, India . Bengaluru East, Karnataka, India",3 months ago,Healthcare,Public,"82,030",NA,27524,30975.509599999998,"['pytorch', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'tensorflow']"
data scientist,senior,on-site,"New York City, New York, United States . On-site",23 days ago,Technology,Private,150,150,151203,170163.85619999998,[]
data scientist,lead,hybrid,"Bengaluru, Karnataka, India . Hybrid",a month ago,Finance,Private,"7,030","7,030",14064,15827.6256,"['aws', 'machine learning', 'gcp', 'azure', 'deep learning']"
machine learning engineer,senior,on-site,"Washington, DC . On-site",14 days ago,Technology,Private,"3,570","3,570",120104 - 200112,135165.0416,"['deep learning', 'aws', 'machine learning', 'python']"
machine learning engineer,midlevel,on-site,"Jersey City, NJ",12 days ago,Technology,Public,"309,170",NA,146134 - 164401,164459.2036,"['aws', 'gcp', 'azure']"
data scientist,senior,NA,"Los Alamos, NM",14 days ago,Energy,NA,"12,802","12,802",114354 - 192992,128693.9916,"['git', 'r', 'python', 'sql', 'machine learning', 'database', 'deep learning']"
NA,midlevel,NA,"Austin, TX",4 months ago,Education,NA,"16,011","16,011",68505,77095.527,"['linux', 'python']"
data scientist,senior,on-site,"Irvine, CA",6 days ago,Technology,Private,"5,540","5,540",92252 - 170573,103820.4008,"['amazon', 'pytorch', 'aws', 'python', 'java', 'machine learning', 'deep learning', 'keras', 'azure', 'tensorflow']"
data scientist,senior,remote,"Brisbane, CA",19 days ago,Healthcare,Public,660,NA,164408 - 211900,185024.7632,"['pandas', 'numpy', 'git', 'r', 'python', 'scikit-learn', 'machine learning', 'matplotlib']"
data scientist,NA,on-site,"Mountain View, California, United States . On-site",5 months ago,Technology,Private,310,310,187241,210721.0214,[]
machine learning engineer,senior,NA,"New York, NY . Boston, MA . Los Angeles, CA",a year ago,Technology,NA,Private,NA,146141 - 255740,164467.0814,"['pytorch', 'machine learning']"
data scientist,midlevel,hybrid,"Kansas City, KS . Hybrid",a month ago,Healthcare,NA,"4,104","4,104",75814 - 119654,85321.0756,"['pytorch', 'r', 'python', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,senior,on-site,"Boston, MA . United States",22 days ago,Finance,Private,"45,070","45,070",109600,123343.84,"['deep learning', 'machine learning']"
data scientist,senior,hybrid,"San Jose, CA . Hybrid",2 months ago,Technology,Private,750,750,112803 - 194408,126948.4962,"['sql', 'machine learning', 'r', 'python']"
data scientist,junior,on-site,"San Diego, CA",7 days ago,Technology,Private,"1,050","1,050",81294 - 109607,91488.26759999999,"['sql', 'machine learning', 'tableau']"
data scientist,senior,remote,United States . Fully Remote,14 days ago,Technology,Private,550,550,127869 - 164402,143903.7726,"['pytorch', 'scikit-learn', 'python', 'java', 'machine learning', 'tensorflow']"
data scientist,senior,NA,"Bengaluru, Karnataka, India",a month ago,Technology,Private,"1,800","1,800",19988,22494.495199999998,"['pytorch', 'aws', 'python', 'docker', 'gcp', 'kubernetes', 'azure']"
data scientist,senior,hybrid,"Toronto, Ontario, Canada . Hybrid",7 days ago,Finance,Public,"29,480",NA,73457,82668.50779999999,"['machine learning', 'python']"
data scientist,senior,NA,"Boston, MA . บอสตัน, รัฐแมสซาชูเซตส์, สหรัฐ",25 days ago,Healthcare,NA,"4,310","4,310",138543 - 173111,155916.2922,"['r', 'python', 'sql', 'machine learning', 'tableau']"
data scientist,junior,hybrid,"Overland Park, KS . Frisco, TX . Bellevue, WA . Hybrid",3 days ago,Technology,Public,"83,550",NA,78825 - 142210,88709.655,"['sql', 'machine learning', 'r', 'python']"
data scientist,midlevel,NA,"Singapore, Singapore",2 days ago,Finance,Public,"30,830",NA,67044,75451.3176,"['spark', 'git', 'python', 'sql', 'hadoop']"
data scientist,lead,hybrid,"Lake Mary, FL . Hybrid",4 days ago,Finance,Public,"51,750",NA,109606,123350.5924,"['sql', 'kubernetes', 'machine learning', 'python']"
data scientist,senior,hybrid,"Vilniaus, Lithuania . Nzalae/ Nzawa locations, Kitui County, Kenya . Hybrid",5 months ago,Technology,Private,75,75,5940 - 8223,6684.875999999999,"['aws', 'database', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']"
data scientist,midlevel,on-site,"Brazil, Sao Paulo . On-site",14 days ago,Technology,Private,"7,070","7,070",28878 - 39713,32499.301199999998,[]
data scientist,senior,NA,"Washington, DC",2 days ago,Technology,Private,90,90,146134 - 182667,164459.2036,"['spark', 'r', 'python', 'sql', 'machine learning']"
data scientist,NA,remote,NA,2 days ago,Technology,Private,126,126,127874 - 141573,143909.3996,[]
data scientist,lead,remote,NA,7 days ago,Technology,Private,750,750,255738,287807.5452,[]
data scientist,senior,NA,"San Francisco, CA . Chicago, IL . Seattle, WA . New York, NY",13 days ago,Technology,Private,524,524,114175 - 155274,128492.545,"['pandas', 'sql', 'python']"
data scientist,senior,remote,"Alpharetta, GA",3 months ago,Healthcare,Public,"6,470",NA,82480 - 137371,92822.992,"['pandas', 'numpy', 'aws', 'scikit-learn', 'python', 'scipy', 'database', 'matplotlib']"
data scientist,senior,on-site,"Orlando, FL",4 days ago,Technology,Private,"8,520","8,520",97168 - 107796,109352.8672,"['amazon', 'azure', 'machine learning']"
data scientist,senior,NA,"Plainsboro, NJ",7 days ago,Healthcare,Public,"55,215",NA,131088,147526.4352,['deep learning']
machine learning engineer,NA,hybrid,"New York, NY . Hybrid",23 days ago,Technology,Private,180,180,173536 - 228335,195297.41439999998,[]
data scientist,senior,remote,NA,8 days ago,Technology,Private,45,45,118741,133631.1214,[]
data scientist,lead,hybrid,"Tempe, AZ . Hybrid",20 days ago,Finance,Private,"55,070","55,070",100470 - 137003,113068.938,"['linux', 'aws', 'r', 'python']"
data scientist,senior,on-site,"Indianapolis, IN",15 days ago,Healthcare,Public,"35,050",NA,138373 - 202945,155724.9742,['tableau']
machine learning engineer,senior,hybrid,"Redwood City, CA . Hybrid",7 days ago,Retail,Public,"2,010",NA,172567 - 244914,194206.9018,"['pytorch', 'spark', 'python', 'scala', 'sql', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,senior,hybrid,"Santa Clara, CA . Hybrid",3 months ago,Technology,Private,600,600,205499 - 273999,231268.5746,"['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'python', 'machine learning', 'gcp', 'deep learning', 'azure', 'matplotlib', 'tensorflow']"
data scientist,senior,on-site,"Bengaluru, Karnataka, India",2 months ago,Technology,Private,"1,310","1,310",15667,17631.641799999998,"['powerbi', 'python', 'sql', 'machine learning', 'deep learning', 'matplotlib', 'tableau']"
data scientist,NA,remote,NA,a month ago,Technology,Private,126,126,155272,174743.1088,[]
data scientist,lead,on-site,"Boston, MA",7 days ago,Finance,Public,"3,040",NA,141571,159324.0034,"['sql', 'machine learning', 'r', 'python']"
data scientist,senior,hybrid,"Boston, MA . Hybrid",16 hours ago,Finance,Private,"60,640","60,640",109605 - 159838,123349.46699999999,"['r', 'python', 'machine learning', 'keras', 'deep learning', 'tensorflow']"
data scientist,lead,remote,"Raleigh, NC",18 days ago,Technology,Public,"2,570",NA,146135 - 182668,164460.329,"['aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']"
data scientist,senior,remote,NA,a month ago,Technology,Private,300,300,168061 - 192721,189135.8494,[]
data scientist,senior,on-site,"Brooklyn, OH . Cleveland, OH . United States",a month ago,Finance,Public,"18,030",NA,115085 - 126958,129516.659,"['sql', 'r', 'python']"
data scientist,senior,remote,NA,3 days ago,Technology,Private,45,45,155269 - 178102,174739.7326,[]
data scientist,midlevel,on-site,"Chicago, IL",5 days ago,Technology,Private,"43,933","43,933",52518 - 97271,59103.7572,[]
data scientist,senior,on-site,"South San Francisco, CA",4 days ago,Technology,Private,126,126,147049 - 185363,165488.9446,"['pytorch', 'aws', 'r', 'python', 'docker', 'scikit-learn', 'machine learning', 'gcp', 'deep learning', 'azure', 'matplotlib', 'tensorflow']"
data scientist,midlevel,on-site,"Philadelphia, PA",10 months ago,Education,NA,"39,879","39,879",91339 - 109605,102792.9106,"['sql', 'machine learning', 'r', 'python']"
data scientist,lead,on-site,"Minneapolis, MN",a month ago,Finance,Private,"1,320","1,320",112348 - 168609,126436.4392,"['pytorch', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'azure', 'tensorflow']"
data scientist,senior,hybrid,"Bucharest, Bucharest, Romania . Vilnius, Vilniaus, Lithuania . Estonia . Bulgaria . Poland + 11 More . Hybrid",2 months ago,Technology,Private,75,75,5939 - 8222,6683.750599999999,"['aws', 'database', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']"
data scientist,senior,remote,United States . Fully Remote,14 days ago,Healthcare,Private,490,490,91336 - 109602,102789.53439999999,"['pandas', 'numpy', 'aws', 'git', 'scikit-learn', 'python', 'sql', 'gcp', 'database', 'machine learning']"
machine learning engineer,senior,remote,NA,a month ago,Technology,Public,990,NA,197190 - 236660,221917.626,[]
data scientist,senior,hybrid,"San Francisco, California, United States . San Francisco, California, USA . Hybrid",a month ago,Healthcare,Private,45,45,159834 - 205500,179877.1836,[]
data scientist,senior,hybrid,"Chicago, IL . إلينوي شيكاغو الولايات المتحدة . Hybrid",2 months ago,Healthcare,Private,420,420,95901 - 123301,107926.98539999999,"['sql', 'machine learning', 'scikit-learn', 'python']"
data scientist,senior,hybrid,"Austin, Texas . Hybrid",a day ago,Technology,Public,"2,760",NA,200937,226134.4998,[]
data scientist,senior,on-site,"San Diego, CA",a month ago,Healthcare,Public,"4,040",NA,129513 - 215914,145753.9302,"['r', 'python', 'scala', 'sql', 'gcp']"
data scientist,lead,NA,Salt Lake City Metropolitan Area,7 days ago,Education,NA,"9,030","9,030",182667,205573.4418,"['sql', 'machine learning', 'python']"
data scientist,midlevel,NA,"Pune, Maharashtra, India",7 days ago,Finance,Public,"205,350",NA,30455,34274.057,"['scikit-learn', 'python', 'sql', 'database', 'machine learning']"
data scientist,junior,NA,"Queenstown, Central Singapore Community Development Council, Singapore",3 months ago,Education,NA,210,210,54802,61674.1708,"['tableau', 'r', 'python']"
data scientist,midlevel,remote,"Brookfield, WI . Fully Remote",7 days ago,Healthcare,Private,"3,810","3,810",59552 - 138317,67019.8208,"['aws', 'r', 'python', 'sql', 'machine learning']"
data scientist,senior,hybrid,"Yonkers, New York, United States . Hybrid",17 hours ago,Healthcare,Private,683,683,120568 - 134268,135687.2272,[]
data scientist,senior,hybrid,"Berlin, Berlin, Germany . Hybrid",a month ago,Technology,Private,"8,350","8,350",86270 - 119421,97088.258,"['scala', 'spark', 'machine learning', 'python']"
data scientist,lead,hybrid,"Golden Valley, MN . Austin, TX . Hybrid",7 days ago,Technology,Public,"4,770",NA,119819 - 178753,134844.3026,"['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'git', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'keras', 'azure', 'tensorflow']"
data scientist,senior,hybrid,"Chicago, IL . Hybrid",5 days ago,Technology,Private,"51,270","51,270",83821,94332.1534,"['git', 'r', 'python', 'sql', 'machine learning', 'deep learning']"
data scientist,senior,remote,NA,22 days ago,Technology,Public,"2,540",NA,137006 - 200939,154186.5524,[]
data scientist,senior,NA,Ukraine,14 days ago,Technology,Private,"10,270","10,270",65768,74015.3072,"['amazon', 'pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,lead,remote,NA,a month ago,Healthcare,Private,180,180,173536 - 200936,195297.41439999998,[]
data scientist,NA,on-site,"Barcelona, Spain . On-site",a month ago,Technology,Private,"3,780","3,780",46527 - 76221,52361.485799999995,[]
data scientist,NA,hybrid,NA,a month ago,Technology,Private,180,180,39254 - 58876,44176.4516,[]
data scientist,senior,remote,NA,6 months ago,Energy,Private,90,90,141572 - 168972,159325.1288,[]
data scientist,midlevel,on-site,"San Francisco, CA",21 days ago,Technology,Public,"9,300",NA,130666 - 241896,147051.5164,"['spark', 'aws', 'python', 'airflow', 'sql', 'gcp', 'machine learning']"
data scientist,midlevel,on-site,"Rockville, MD",a month ago,Healthcare,Public,"106,370",NA,124333 - 207218,139924.3582,"['machine learning', 'r', 'python']"
data scientist,senior,hybrid,"New York, NY . Hybrid",2 months ago,Technology,Private,500,500,109603 - 118736,123347.2162,[]
data scientist,lead,on-site,"Seattle, WA",7 days ago,Retail,Public,"157,150",NA,120567,135686.1018,"['python', 'sql', 'machine learning', 'azure', 'tableau']"
data scientist,senior,remote,United States,7 days ago,Technology,Private,960,960,109600 - 118733,123343.84,"['spark', 'aws', 'git', 'r', 'python', 'powerbi', 'scala', 'java', 'sql', 'machine learning', 'gcp', 'hadoop', 'azure', 'matplotlib', 'tableau']"
data scientist,lead,on-site,United States,14 days ago,Retail,Public,"50,040",NA,86958,97862.53319999999,"['pytorch', 'spark', 'python', 'machine learning', 'deep learning', 'azure', 'tensorflow']"
data scientist,senior,remote,NA,2 days ago,Healthcare,Private,360,360,109606 - 146139,123350.5924,[]
data scientist,senior,hybrid,"Minneapolis, MN . Hybrid",7 days ago,Healthcare,Private,751,751,103871,116896.4234,"['sql', 'machine learning', 'r', 'python']"
data scientist,NA,hybrid,NA,a year ago,Technology,Private,180,180,137003 - 173536,154183.1762,[]
data scientist,senior,remote,"India, Bengaluru . Fully Remote",5 days ago,Technology,Private,900,900,39026,43919.8604,[]
machine learning engineer,senior,on-site,"Colorado Springs, CO",14 days ago,Technology,Private,"1,040","1,040",109608 - 127875,123352.84319999999,"['pytorch', 'scikit-learn', 'machine learning', 'tensorflow']"
data scientist,senior,hybrid,"San Francisco, CA . Hybrid",21 days ago,Technology,Private,780,780,146135 - 196368,164460.329,[]
data scientist,senior,NA,"Chicago, IL",7 days ago,Healthcare,Public,"2,540",NA,63942 - 86775,71960.3268,"['powerbi', 'r', 'python', 'sql', 'database', 'hadoop', 'tableau']"
data scientist,senior,on-site,NA,13 days ago,Technology,Private,600,600,147968,166523.1872,[]
data scientist,NA,hybrid,NA,3 years ago,Technology,Private,180,180,137005 - 173538,154185.427,[]
data scientist,NA,on-site,"South San Francisco, California, United States . On-site",2 months ago,Technology,Private,45,45,159835 - 182668,179878.30899999998,[]
data scientist,senior,NA,"Singapore, Singapore",a month ago,Technology,NA,"6,040","6,040",80624,90734.2496,['database']
data scientist,lead,on-site,"Sacramento, California, United States . Jacksonville, Florida, United States . Austin, Texas, United States . Mexico City, Mexico . Ottawa, Ontario, Canada + 17 More . On-site",2 months ago,Technology,Private,420,420,218288,245661.31519999998,[]
data scientist,NA,on-site,"Annapolis Junction, Maryland, United States . On-site",7 days ago,Technology,Private,57,57,45667 - 264871,51393.6418,[]
data scientist,senior,remote,NA,2 months ago,Technology,Private,45,45,141574 - 182674,159327.3796,[]
data scientist,senior,hybrid,United States . Hybrid,4 days ago,Technology,Public,"3,050",NA,130609 - 209155,146987.3686,"['pytorch', 'aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,senior,NA,"Fort Huachuca, AZ . Fort Huachuca, Arizona, United States",22 days ago,Technology,Private,"5,060","5,060",60287 - 96820,67846.9898,[]
data scientist,senior,on-site,"Richmond, VA",8 days ago,Technology,Private,"2,300","2,300",91334 - 109600,102787.2836,"['git', 'r', 'python', 'sql', 'machine learning']"
data scientist,senior,NA,"Ashburn, VA",21 days ago,Technology,Private,"5,030","5,030",160753 - 257566,180911.4262,"['spark', 'aws', 'r', 'python', 'scala', 'java', 'sql', 'machine learning', 'hadoop', 'azure', 'tableau']"
data scientist,lead,NA,"New York, NY",6 months ago,Technology,Private,"2,060","2,060",79654 - 125307,89642.61159999999,"['spark', 'aws', 'python', 'sql', 'machine learning']"
